st_date,VL
2022-04-10,1100000000000.0
2022-04-10,436867321867.3219
2022-04-10,776000000000.0
2022-04-10,931701653694.4897
2022-04-10,4130832069585.201
2022-04-10,414002265705.4583
2022-04-10,6280000000000.0
2022-04-10,835000000000.0
2022-04-10,1100000000000.0
2022-04-10,479000000000.0
2022-04-10,2000000000.0
2022-04-17,252167940588.8995
2022-04-17,5700000000000.0
2022-04-17,5700000000000.0
2022-04-17,2140000000000.0
2022-04-17,318000000000.0
2022-04-17,1481675115384.6155
2022-04-17,1770000000000.0
2022-04-17,1110000000000.0
2022-04-17,5023342293261.21
2022-04-17,1770000000000.0
2022-04-17,66733619201.42562
2022-04-17,170000000000.0
2022-04-17,4193729003.3594627
2022-04-17,416000000000.0
2022-04-17,760880661748.6578
2022-04-17,287000000000.0
2022-04-17,1632186732186.7324
2022-04-17,1110000000000.0
2022-04-17,707881371678.6754
2022-04-17,3378736029180.8906
2022-04-17,694071472708.548
2022-04-17,4280000000000.0
2022-04-17,1770000000000.0
2022-04-17,287000000000.0
2022-04-17,1840000000000.0
2022-04-17,0.0
2022-04-24,318630808651.0901
2022-04-24,3990000000000.0
2022-04-24,3990000000000.0
2022-04-24,582000000000.0
2022-04-24,82300000000.0
2022-04-24,873321307692.3079
2022-04-24,3880000000000.0
2022-04-24,963000000000.0
2022-04-24,5299960373102.481
2022-04-24,3880000000000.0
2022-04-24,40720376454.864395
2022-04-24,6623740201.567749
2022-04-24,301000000000.0
2022-04-24,383535693395.6087
2022-04-24,601000000000.0
2022-04-24,856646191646.1918
2022-04-24,963000000000.0
2022-04-24,696938187749.0348
2022-04-24,4892765927123.486
2022-04-24,369496807415.0361
2022-04-24,6760000000000.0
2022-04-24,3880000000000.0
2022-04-24,601000000000.0
2022-04-24,955000000000.0
2022-04-24,18500000000.0
2022-04-24,14400000000.0
2022-05-01,459375705723.96423
2022-05-01,4930000000000.0
2022-05-01,4930000000000.0
2022-05-01,970000000000.0
2022-05-01,199000000000.0
2022-05-01,1380755769230.7693
2022-05-01,961000000000.0
2022-05-01,7992768894825.227
2022-05-01,94677173247.20164
2022-05-01,55200000000.0
2022-05-01,11170212765.957447
2022-05-01,49700000000.0
2022-05-01,1285646785106.29
2022-05-01,1650000000000.0
2022-05-01,1157518427518.4277
2022-05-01,961000000000.0
2022-05-01,1555145859570.163
2022-05-01,8141584105500.145
2022-05-01,831503604531.411
2022-05-01,11400000000000.0
2022-05-01,1650000000000.0
2022-05-01,1300000000000.0
