location,date,lag,pcorr,pval
Little Falls Run,2022-10-23 00:00:00,-2,0.7777611954956862,0.0028995553782355903
Little Falls Run,2022-10-16 00:00:00,-2,0.8421013071654326,0.0005892394089234405
Little Falls Run,2022-10-09 00:00:00,-2,0.7269985765240566,0.007388308843453746
Little Falls Run,2022-10-02 00:00:00,-2,0.7185272220140196,0.008473439038302439
Little Falls Run,2022-09-25 00:00:00,,0,
Little Falls Run,2022-09-18 00:00:00,,0,
Little Falls Run,2022-09-11 00:00:00,,0,
Little Falls Run,2022-09-04 00:00:00,,0,
Little Falls Run,2022-08-28 00:00:00,,0,
Little Falls Run,2022-08-21 00:00:00,,0,
Little Falls Run,2022-08-14 00:00:00,,0,
Little Falls Run,2022-08-07 00:00:00,,0,
Little Falls Run,2022-07-31 00:00:00,,0,
Little Falls Run,2022-07-24 00:00:00,,0,
Little Falls Run,2022-07-17 00:00:00,,0,
Little Falls Run,2022-07-10 00:00:00,,0,
Little Falls Run,2022-07-03 00:00:00,,0,
Little Falls Run,2022-06-26 00:00:00,,0,
Little Falls Run,2022-06-19 00:00:00,,0,
Little Falls Run,2022-06-12 00:00:00,,0,
Little Falls Run,2022-06-05 00:00:00,,0,
Little Falls Run,2022-05-29 00:00:00,,0,
Little Falls Run,2022-05-22 00:00:00,,0,
Little Falls Run,2022-05-15 00:00:00,,0,
Little Falls Run,2022-05-08 00:00:00,,0,
Little Falls Run,2022-05-01 00:00:00,,0,
Little Falls Run,2022-04-24 00:00:00,,0,
Little Falls Run,2022-04-17 00:00:00,,0,
Little Falls Run,2022-04-10 00:00:00,-2,0.6214875258646145,0.030985598787634707
Little Falls Run,2022-04-03 00:00:00,-2,0.866286259884501,0.0002677971762856695
Little Falls Run,2022-03-27 00:00:00,-2,0.948228249328459,2.684524536411233e-06
Little Falls Run,2022-03-20 00:00:00,-2,0.9515595634784395,6.61383159515066e-06
Little Falls Run,2022-03-13 00:00:00,-2,0.9492731653517834,8.112193304073943e-06
Little Falls Run,2022-03-06 00:00:00,-2,0.8185730826120898,0.0020642874640387837
Little Falls Run,2022-02-27 00:00:00,,0,
Little Falls Run,2022-02-20 00:00:00,,0,
Little Falls Run,2022-02-13 00:00:00,,0,
Little Falls Run,2022-02-06 00:00:00,,0,
Little Falls Run,2022-01-30 00:00:00,,0,
Little Falls Run,2022-01-23 00:00:00,,0,
Little Falls Run,2022-01-16 00:00:00,,0,
Little Falls Run,2022-01-09 00:00:00,,0,
Little Falls Run,2022-01-02 00:00:00,,0,
Little Falls Run,2021-12-26 00:00:00,-2,0.5933894635192599,0.04196046444819797
Little Falls Run,2021-12-19 00:00:00,-2,0.6826080534768512,0.014440320852368668
Little Falls Run,2021-12-12 00:00:00,-2,0.6088053216238205,0.03564601148930142
Little Falls Run,2021-12-05 00:00:00,-2,0.5784911511868959,0.04877978916880417
Little Falls Run,2021-11-28 00:00:00,-2,0.7679453304452041,0.003535208022122066
Lynchburg,2023-03-05 00:00:00,,0,
Lynchburg,2023-02-26 00:00:00,,0,
Lynchburg,2023-02-19 00:00:00,,0,
Lynchburg,2023-02-12 00:00:00,,0,
Lynchburg,2023-02-05 00:00:00,,0,
Lynchburg,2023-01-29 00:00:00,,0,
Lynchburg,2023-01-22 00:00:00,,0,
Lynchburg,2023-01-15 00:00:00,,0,
Lynchburg,2023-01-08 00:00:00,,0,
Lynchburg,2023-01-01 00:00:00,-2,0.7163907755875771,0.008764961032810548
Lynchburg,2022-12-25 00:00:00,-2,0.7457158468259053,0.005362311253421244
Lynchburg,2022-12-18 00:00:00,-2,0.961183155062754,6.501979993474923e-07
Lynchburg,2022-12-11 00:00:00,-2,0.9226836212836187,1.909001213657473e-05
Lynchburg,2022-12-04 00:00:00,-2,0.8496907650231396,0.00046683179662621716
Lynchburg,2022-11-27 00:00:00,,0,
Lynchburg,2022-11-20 00:00:00,,0,
Lynchburg,2022-11-13 00:00:00,-2,0.7052816952373878,0.010403184274717297
Lynchburg,2022-11-06 00:00:00,,0,
Lynchburg,2022-10-30 00:00:00,,0,
Lynchburg,2022-10-23 00:00:00,,0,
Lynchburg,2022-10-16 00:00:00,,0,
Lynchburg,2022-10-09 00:00:00,,0,
Lynchburg,2022-10-02 00:00:00,,0,
Lynchburg,2022-09-25 00:00:00,,0,
Lynchburg,2022-09-18 00:00:00,,0,
Lynchburg,2022-09-11 00:00:00,,0,
Lynchburg,2022-09-04 00:00:00,,0,
Lynchburg,2022-08-28 00:00:00,,0,
Lynchburg,2022-08-21 00:00:00,,0,
Lynchburg,2022-08-14 00:00:00,,0,
Lynchburg,2022-08-07 00:00:00,,0,
Lynchburg,2022-07-31 00:00:00,,0,
Lynchburg,2022-07-24 00:00:00,,0,
Lynchburg,2022-07-17 00:00:00,,0,
Lynchburg,2022-07-10 00:00:00,,0,
Lynchburg,2022-07-03 00:00:00,,0,
Lynchburg,2022-06-26 00:00:00,,0,
Lynchburg,2022-06-19 00:00:00,,0,
Lynchburg,2022-06-12 00:00:00,,0,
Lynchburg,2022-06-05 00:00:00,-2,0.7584939044632356,0.00681173117893207
Lynchburg,2022-05-29 00:00:00,-2,0.7231428706370838,0.011910371546731363
Lynchburg,2022-05-22 00:00:00,-2,0.702579704372168,0.015909029238872285
Lynchburg,2022-05-15 00:00:00,-2,0.8224710217390255,0.001883304986989091
Lynchburg,2022-05-08 00:00:00,-2,0.7611994684076282,0.006502584485393583
Lynchburg,2022-05-01 00:00:00,,0,
Lynchburg,2022-04-24 00:00:00,,0,
Lynchburg,2022-04-17 00:00:00,-2,0.8290184943656883,0.0016063225442564401
Lynchburg,2022-04-10 00:00:00,,0,
Lynchburg,2022-04-03 00:00:00,-2,0.7905803133187507,0.0022050504330549756
Lynchburg,2022-03-27 00:00:00,-2,0.9240433567905905,1.7510203113034997e-05
Lynchburg,2022-03-20 00:00:00,-2,0.9529320886832142,1.6807289046770162e-06
Lynchburg,2022-03-13 00:00:00,-2,0.7535977930365342,0.004648100951073739
Lynchburg,2022-03-06 00:00:00,,0,
Lynchburg,2022-02-27 00:00:00,,0,
Lynchburg,2022-02-20 00:00:00,,0,
Lynchburg,2022-02-13 00:00:00,,0,
Lynchburg,2022-02-06 00:00:00,,0,
Lynchburg,2022-01-30 00:00:00,,0,
Lynchburg,2022-01-23 00:00:00,,0,
Lynchburg,2022-01-16 00:00:00,,0,
Lynchburg,2022-01-09 00:00:00,,0,
Lynchburg,2022-01-02 00:00:00,,0,
Lynchburg,2021-12-26 00:00:00,,0,
Lynchburg,2021-12-19 00:00:00,,0,
Lynchburg,2021-12-12 00:00:00,,0,
Lynchburg,2021-12-05 00:00:00,,0,
Lynchburg,2021-11-28 00:00:00,,0,
Moores Creek,2023-03-05 00:00:00,,0,
Moores Creek,2023-02-26 00:00:00,,0,
Moores Creek,2023-02-19 00:00:00,,0,
Moores Creek,2023-02-12 00:00:00,,0,
Moores Creek,2023-02-05 00:00:00,,0,
Moores Creek,2023-01-29 00:00:00,,0,
Moores Creek,2023-01-22 00:00:00,,0,
