sewershed,EW_stdate,lag,pcorr,pval,best_lag,best_corr,best_pval
Parkins Mill,2022-07-03,1,0.0,0.13726197944145044,-2,0.6778302010921357,0.04480926269300501
Parkins Mill,2022-07-03,2,0.0,0.0034182152429017413,-2,0.6778302010921357,0.04480926269300501
Parkins Mill,2022-06-26,-2,0.8117225864930513,0.00788929768782947,-2,0.8117225864930513,0.00788929768782947
Parkins Mill,2022-06-26,-1,0.0,0.06708578689234565,-2,0.8117225864930513,0.00788929768782947
Parkins Mill,2022-06-26,0,0.0,0.09158336570110645,-2,0.8117225864930513,0.00788929768782947
Parkins Mill,2022-06-26,1,0.0,0.04124246780258141,-2,0.8117225864930513,0.00788929768782947
Parkins Mill,2022-06-26,2,0.0,0.004907014834108845,-2,0.8117225864930513,0.00788929768782947
Parkins Mill,2022-06-19,-2,0.8499999999999999,0.0037047773275858133,-2,0.8499999999999999,0.0037047773275858133
Parkins Mill,2022-06-19,-1,0.0,0.04124246780258141,-2,0.8499999999999999,0.0037047773275858133
Parkins Mill,2022-06-19,0,0.0,0.056676692165527696,-2,0.8499999999999999,0.0037047773275858133
Parkins Mill,2022-06-19,1,0.0,0.05252286046708899,-2,0.8499999999999999,0.0037047773275858133
Parkins Mill,2022-06-19,2,0.0,0.12307662993423849,-2,0.8499999999999999,0.0037047773275858133
Parkins Mill,2022-06-12,-2,0.8870370532810664,0.0014260236511493699,-2,0.8870370532810664,0.0014260236511493699
Parkins Mill,2022-06-12,-1,0.0,0.009106405386877986,-2,0.8870370532810664,0.0014260236511493699
Parkins Mill,2022-06-12,0,0.0,0.08595335754058796,-2,0.8870370532810664,0.0014260236511493699
Parkins Mill,2022-06-12,1,0.0,0.6510838503222888,-2,0.8870370532810664,0.0014260236511493699
Parkins Mill,2022-06-12,2,0.0,0.12307662993423849,-2,0.8870370532810664,0.0014260236511493699
Parkins Mill,2022-06-05,-2,0.9179373709568976,0.0001795302177889845,-2,0.9179373709568976,0.0001795302177889845
Parkins Mill,2022-06-05,-1,0.0,0.008879536829615708,-2,0.9179373709568976,0.0001795302177889845
Parkins Mill,2022-06-05,0,0.0,0.34503632799221085,-2,0.9179373709568976,0.0001795302177889845
Parkins Mill,2022-06-05,1,0.0,0.25049600352532764,-2,0.9179373709568976,0.0001795302177889845
Parkins Mill,2022-06-05,2,0.0,0.033758136992652774,-2,0.9179373709568976,0.0001795302177889845
Parkins Mill,2022-05-29,-2,0.8571468165888911,0.0015278398373375572,-2,0.8571468165888911,0.0015278398373375572
Parkins Mill,2022-05-29,-1,0.0,0.1600670096468279,-2,0.8571468165888911,0.0015278398373375572
Parkins Mill,2022-05-29,0,0.0,0.27467301434339914,-2,0.8571468165888911,0.0015278398373375572
Parkins Mill,2022-05-29,1,0.0,0.16471614517440153,-2,0.8571468165888911,0.0015278398373375572
Parkins Mill,2022-05-29,2,0.0,0.05117985923998389,-2,0.8571468165888911,0.0015278398373375572
Parkins Mill,2022-05-22,-2,0.8085143730944859,0.004635280964462701,-2,0.8085143730944859,0.004635280964462701
Parkins Mill,2022-05-22,-1,0.0,0.433925839676929,-2,0.8085143730944859,0.004635280964462701
Parkins Mill,2022-05-22,0,0.0,0.6250493381834632,-2,0.8085143730944859,0.004635280964462701
Parkins Mill,2022-05-22,1,0.0,0.1832247679112596,-2,0.8085143730944859,0.004635280964462701
Parkins Mill,2022-05-22,2,0.0,0.04273152349785686,-2,0.8085143730944859,0.004635280964462701
Alexandria Renew,2023-05-07,-2,0.0,0.6514773427962428,,,
Alexandria Renew,2023-05-07,-1,0.0,0.34029761418190363,,,
Alexandria Renew,2023-05-07,0,0.0,0.10060263183225483,,,
Alexandria Renew,2023-05-07,1,0.0,0.19083587400450033,,,
Alexandria Renew,2023-05-07,2,0.0,0.36625146058358227,,,
Alexandria Renew,2023-04-30,-2,0.0,0.8944269969053026,,,
Alexandria Renew,2023-04-30,-1,0.0,0.49855598552418856,,,
Alexandria Renew,2023-04-30,0,0.0,0.21702022575997748,,,
Alexandria Renew,2023-04-30,1,0.0,0.35414764123292175,,,
Alexandria Renew,2023-04-30,2,0.0,0.5419358857313175,,,
Alexandria Renew,2023-04-23,-2,0.0,0.40383308831471165,,,
Alexandria Renew,2023-04-23,-1,0.0,0.3910967709418962,,,
Alexandria Renew,2023-04-23,0,0.0,0.19933549461780897,,,
Alexandria Renew,2023-04-23,1,0.0,0.2969041156887641,,,
Alexandria Renew,2023-04-23,2,0.0,0.3910967709418962,,,
Alexandria Renew,2023-04-16,-2,0.0,0.19933549461780897,,,
Alexandria Renew,2023-04-16,-1,0.0,0.25513775175895725,,,
Alexandria Renew,2023-04-16,0,0.0,0.124454791188834,,,
Alexandria Renew,2023-04-16,1,0.0,0.1591057694121953,,,
Alexandria Renew,2023-04-16,2,0.0,0.2080634636953532,,,
Alexandria Renew,2023-04-09,-2,0.0,0.05858947538856762,0,0.0,0.044609296463363105
Alexandria Renew,2023-04-09,-1,0.0,0.08486877113393493,0,0.0,0.044609296463363105
Alexandria Renew,2023-04-09,0,0.0,0.044609296463363105,0,0.0,0.044609296463363105
Alexandria Renew,2023-04-09,1,0.0,0.05126558978649144,0,0.0,0.044609296463363105
Alexandria Renew,2023-04-09,2,0.0,0.06251148327961512,0,0.0,0.044609296463363105
Alexandria Renew,2023-04-02,-2,0.6713286713286714,0.016831456186893395,-2,0.6713286713286714,0.016831456186893395
Alexandria Renew,2023-04-02,-1,0.0,0.022034190932365288,-2,0.6713286713286714,0.016831456186893395
Alexandria Renew,2023-04-02,0,0.0,0.018452718028445437,-2,0.6713286713286714,0.016831456186893395
Alexandria Renew,2023-04-02,1,0.0,0.0153173290532817,-2,0.6713286713286714,0.016831456186893395
Alexandria Renew,2023-04-02,2,0.0,0.02831967129576002,-2,0.6713286713286714,0.016831456186893395
Alexandria Renew,2023-03-26,-2,0.7762237762237763,0.0029928636801859797,-2,0.7762237762237763,0.0029928636801859797
Alexandria Renew,2023-03-26,-1,0.0,0.0034464502618274493,-2,0.7762237762237763,0.0029928636801859797
